src,dst,type
秦可卿,EV_秦可卿_013_txt_秦可卿去世_病故,参与
王熙凤,EV_秦可卿_013_txt_秦可卿去世_病故,涉及
秦可卿,EV_秦可卿_关系表_与贾蓉成婚,参与
贾蓉,EV_秦可卿_关系表_与贾蓉成婚,涉及
秦可卿,EV_秦可卿_关系表_与贾蓉成婚,参与
贾蓉,EV_秦可卿_关系表_与贾蓉成婚,涉及
贾惜春,EV_贾惜春_025_txt_贾惜春去世_病故,参与
王夫人,EV_贾惜春_025_txt_贾惜春去世_病故,涉及
林黛玉,EV_贾惜春_025_txt_贾惜春去世_病故,涉及
薛宝钗,EV_贾惜春_025_txt_贾惜春去世_病故,涉及
贾惜春,EV_贾惜春_关系表_与贾珍父子关系,参与
贾珍,EV_贾惜春_关系表_与贾珍父子关系,涉及
贾惜春,EV_贾惜春_关系表_与尤氏母子关系,参与
尤氏,EV_贾惜春_关系表_与尤氏母子关系,涉及
贾惜春,EV_贾惜春_关系表_与贾珍母女_父女关系,参与
贾珍,EV_贾惜春_关系表_与贾珍母女_父女关系,涉及
贾惜春,EV_贾惜春_关系表_与尤氏母女_父女关系,参与
尤氏,EV_贾惜春_关系表_与尤氏母女_父女关系,涉及
林黛玉,EV_林黛玉_003_txt_林黛玉入贾府,参与
贾母,EV_林黛玉_003_txt_林黛玉入贾府,涉及
王夫人,EV_林黛玉_003_txt_林黛玉入贾府,涉及
贾宝玉,EV_林黛玉_003_txt_林黛玉入贾府,涉及
林黛玉,EV_林黛玉_023_txt_林黛玉共读西厢,参与
贾宝玉,EV_林黛玉_023_txt_林黛玉共读西厢,参与
林黛玉,EV_林黛玉_027_txt_林黛玉葬花,参与
紫鹃,EV_林黛玉_027_txt_林黛玉葬花,涉及
林黛玉,EV_林黛玉_034_txt_林黛玉探伤,参与
贾宝玉,EV_林黛玉_034_txt_林黛玉探伤,涉及
袭人,EV_林黛玉_034_txt_林黛玉探伤,涉及
林黛玉,EV_林黛玉_038_txt_林黛玉魁夺菊花诗,参与
贾宝玉,EV_林黛玉_038_txt_林黛玉魁夺菊花诗,涉及
薛宝钗,EV_林黛玉_038_txt_林黛玉魁夺菊花诗,涉及
史湘云,EV_林黛玉_038_txt_林黛玉魁夺菊花诗,涉及
林黛玉,EV_林黛玉_097_txt_林黛玉焚稿断痴情,参与
贾宝玉,EV_林黛玉_097_txt_林黛玉焚稿断痴情,涉及
薛宝钗,EV_林黛玉_097_txt_林黛玉焚稿断痴情,涉及
王熙凤,EV_王熙凤_033_txt_王熙凤去世_病故,参与
王夫人,EV_王熙凤_033_txt_王熙凤去世_病故,涉及
贾政,EV_王熙凤_033_txt_王熙凤去世_病故,涉及
贾珠,EV_王熙凤_033_txt_王熙凤去世_病故,涉及
王熙凤,EV_王熙凤_003_txt_王熙凤与贾琏成婚_成配,参与
贾琏,EV_王熙凤_003_txt_王熙凤与贾琏成婚_成配,涉及
贾赦,EV_王熙凤_003_txt_王熙凤与贾琏成婚_成配,涉及
贾母,EV_王熙凤_003_txt_王熙凤与贾琏成婚_成配,涉及
王熙凤,EV_王熙凤_054_txt_王熙凤去世_病故,参与
贾母,EV_王熙凤_054_txt_王熙凤去世_病故,涉及
王熙凤,EV_王熙凤_018_txt_王熙凤参与宴集_游会,参与
王夫人,EV_王熙凤_018_txt_王熙凤参与宴集_游会,涉及
薛姨妈,EV_王熙凤_018_txt_王熙凤参与宴集_游会,涉及
贾赦,EV_王熙凤_018_txt_王熙凤参与宴集_游会,涉及
王熙凤,EV_王熙凤_022_txt_屏灯来_设于当屋_命他姊妹各自暗暗的作了_写出来粘于屏上_,参与
王夫人,EV_王熙凤_022_txt_屏灯来_设于当屋_命他姊妹各自暗暗的作了_写出来粘于屏上_,涉及
贾政,EV_王熙凤_022_txt_屏灯来_设于当屋_命他姊妹各自暗暗的作了_写出来粘于屏上_,涉及
贾母,EV_王熙凤_022_txt_屏灯来_设于当屋_命他姊妹各自暗暗的作了_写出来粘于屏上_,涉及
贾迎春,EV_贾迎春_031_txt_贾迎春与王夫人发生冲突,参与
王夫人,EV_贾迎春_031_txt_贾迎春与王夫人发生冲突,涉及
金钏儿,EV_贾迎春_031_txt_贾迎春与王夫人发生冲突,涉及
贾迎春,EV_贾迎春_079_txt_贾迎春与对方成婚_成配,参与
贾迎春,EV_贾迎春_关系表_与孙绍祖成婚,参与
孙绍祖,EV_贾迎春_关系表_与孙绍祖成婚,涉及
贾迎春,EV_贾迎春_关系表_与贾赦父子关系,参与
贾赦,EV_贾迎春_关系表_与贾赦父子关系,涉及
巧姐,EV_巧姐_117_txt_巧姐去世_病故,参与
王夫人,EV_巧姐_117_txt_巧姐去世_病故,涉及
秋桐,EV_巧姐_117_txt_巧姐去世_病故,涉及
贾琏,EV_巧姐_117_txt_巧姐去世_病故,涉及
巧姐,EV_巧姐_114_txt_巧姐去世_病故,参与
贾政,EV_巧姐_114_txt_巧姐去世_病故,涉及
贾琏,EV_巧姐_114_txt_巧姐去世_病故,涉及
赖大,EV_巧姐_114_txt_巧姐去世_病故,涉及
巧姐,EV_巧姐_119_txt_巧姐与贾琏发生冲突,参与
贾琏,EV_巧姐_119_txt_巧姐与贾琏发生冲突,涉及
贾赦,EV_巧姐_119_txt_巧姐与贾琏发生冲突,涉及
贾兰,EV_巧姐_119_txt_巧姐与贾琏发生冲突,涉及
巧姐,EV_巧姐_106_txt_巧姐去世_病故,参与
秋桐,EV_巧姐_106_txt_巧姐去世_病故,涉及
贾琏,EV_巧姐_106_txt_巧姐去世_病故,涉及
巧姐,EV_巧姐_105_txt_巧姐去世_病故,参与
王夫人,EV_巧姐_105_txt_巧姐去世_病故,涉及
贾母,EV_巧姐_105_txt_巧姐去世_病故,涉及
邢夫人,EV_巧姐_105_txt_巧姐去世_病故,涉及
李纨,EV_李纨_045_txt_李纨与赖嬷嬷发生冲突,参与
赖嬷嬷,EV_李纨_045_txt_李纨与赖嬷嬷发生冲突,涉及
李纨,EV_李纨_069_txt_李纨去世_病故,参与
王夫人,EV_李纨_069_txt_李纨去世_病故,涉及
秋桐,EV_李纨_069_txt_李纨去世_病故,涉及
贾琏,EV_李纨_069_txt_李纨去世_病故,涉及
李纨,EV_李纨_068_txt_李纨去世_病故,参与
贾琏,EV_李纨_068_txt_李纨去世_病故,涉及
尤氏,EV_李纨_068_txt_李纨去世_病故,涉及
尤二姐,EV_李纨_068_txt_李纨去世_病故,涉及
李纨,EV_李纨_118_txt_李纨去世_病故,参与
王夫人,EV_李纨_118_txt_李纨去世_病故,涉及
尤氏,EV_李纨_118_txt_李纨去世_病故,涉及
紫鹃,EV_李纨_118_txt_李纨去世_病故,涉及
李纨,EV_李纨_043_txt_李纨去世_病故,参与
尤氏,EV_李纨_043_txt_李纨去世_病故,涉及
贾母,EV_李纨_043_txt_李纨去世_病故,涉及
袭人,EV_李纨_043_txt_李纨去世_病故,涉及
贾元春,EV_贾元春_023_txt_贾元春参与宴集_游会,参与
王夫人,EV_贾元春_023_txt_贾元春参与宴集_游会,涉及
贾政,EV_贾元春_023_txt_贾元春参与宴集_游会,涉及
贾母,EV_贾元春_023_txt_贾元春参与宴集_游会,涉及
贾元春,EV_贾元春_023_txt_话说贾元春自那日幸大观园回宫去后_便命将那日所有的题咏_,参与
贾政,EV_贾元春_023_txt_话说贾元春自那日幸大观园回宫去后_便命将那日所有的题咏_,涉及
贾珍,EV_贾元春_023_txt_话说贾元春自那日幸大观园回宫去后_便命将那日所有的题咏_,涉及
贾蔷,EV_贾元春_023_txt_话说贾元春自那日幸大观园回宫去后_便命将那日所有的题咏_,涉及
贾元春,EV_贾元春_016_txt_贾元春去世_病故,参与
贾元春,EV_贾元春_关系表_与贾政父子关系,参与
贾政,EV_贾元春_关系表_与贾政父子关系,涉及
贾元春,EV_贾元春_关系表_与王夫人母子关系,参与
王夫人,EV_贾元春_关系表_与王夫人母子关系,涉及
贾宝玉,EV_贾宝玉_115_txt_贾宝玉去世_病故,参与
王夫人,EV_贾宝玉_115_txt_贾宝玉去世_病故,涉及
甄宝玉,EV_贾宝玉_115_txt_贾宝玉去世_病故,涉及
贾政,EV_贾宝玉_115_txt_贾宝玉去世_病故,涉及
贾宝玉,EV_贾宝玉_115_txt_贾宝玉与甄宝玉发生冲突,参与
甄宝玉,EV_贾宝玉_115_txt_贾宝玉与甄宝玉发生冲突,涉及
贾环,EV_贾宝玉_115_txt_贾宝玉与甄宝玉发生冲突,涉及
贾兰,EV_贾宝玉_115_txt_贾宝玉与甄宝玉发生冲突,涉及
贾宝玉,EV_贾宝玉_096_txt_贾宝玉去世_病故,参与
贾琏,EV_贾宝玉_096_txt_贾宝玉去世_病故,涉及
赖大,EV_贾宝玉_096_txt_贾宝玉去世_病故,涉及
贾宝玉,EV_贾宝玉_085_txt_贾宝玉参与宴集_游会,参与
